nom;nombre_offres;nom_offre;localisation;taille;secteur;chiffre_d_affaires;job_description;porteur_lead;joblien
CONVO;2;Ingénieur Cloud & DevOps H/F;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Notre vision chez CONVO est simple : Nous voulons exceller en tant qu’experts du recrutement de profils Tech & Business dans le domaine de la cybersécurité !Dans cette optique, notre mission consiste à dénicher les talents les plus qualifiés pour le compte de nos clients spécialisés dans le domaine de l’IT et de la cybersécurité (Cabinet de Conseil, ESN, Éditeur de solutions).Vos missionsNotre client, un pureplayer Cloud basé à Paris, est à la recherche d'un Ingénieur Cloud & DevOps talentueux pour rejoindre son équipe. Cette entreprise dynamique est réputée pour ses solutions Cloud innovantes et ses pratiques DevOps avancées. Ils mettent l'accent sur la collaboration, l'innovation et la transformation numérique. Si vous êtes passionné par le Cloud et les processus DevOps, cette opportunité est faite pour vous.Description du poste :En tant qu'Ingénieur Cloud & DevOps, vous aurez la responsabilité de concevoir, déployer et optimiser des solutions Cloud tout en assurant des processus DevOps efficaces. Vos principales responsabilités incluront :Concevoir des architectures Cloud robustes et évolutives pour répondre aux besoins des clients.Automatiser les processus de déploiement et mettre en place des pipelines CI/CD efficaces.Assurer la sécurité, la surveillance et la maintenance des infrastructures Cloud.Travailler en étroite collaboration avec les équipes de développement et d'exploitation pour assurer des déploiements fluides.Mettre en œuvre des solutions de conteneurisation et d'orchestration (Docker, Kubernetes).Résoudre les problèmes techniques et proposer des améliorations pour optimiser les performances.Participer à des projets de migration vers le Cloud et mettre en place des pratiques d'infrastructure as code (IaC).Vos compétencesDiplôme en informatique, en génie logiciel, ou dans un domaine connexe.Au moins 3 ans d'expérience en ingénierie Cloud et/ou DevOps.Expertise dans les principales plateformes Cloud (AWS, Azure, GCP) et dans les outils DevOps tels que Jenkins, GitLab CI, ou CircleCI.Connaissance des technologies de conteneurisation et d'orchestration (Docker, Kubernetes).Compréhension des meilleures pratiques de sécurité Cloud et des principes IaC (Terraform, Ansible, ou Chef).Excellentes compétences en résolution de problèmes et capacité à travailler en équipe.Maîtrise du français et de l'anglais, à l'oral comme à l'écrit.AvantagesSalaire compétitif et avantages sociaux attractifs.Environnement de travail stimulant et collaboratif.Possibilité de télétravail et horaires flexibles.Opportunités de développement professionnel et de formation continue.;non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3930640289
CONVO;2;Ingénieur DevOps H/F;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Notre vision chez CONVO est simple : Nous voulons exceller en tant qu’experts du recrutement de profils Tech & Business dans le domaine de la cybersécurité !Dans cette optique, notre mission consiste à dénicher les talents les plus qualifiés pour le compte de nos clients spécialisés dans le domaine de l’IT et de la cybersécurité (Cabinet de Conseil, ESN, Éditeur de solutions).Vos missionsNotre client, un pureplayer Cloud à la pointe de la technologie, est basé à Paris et cherche à renforcer son équipe. Ce leader de l'industrie Cloud se distingue par son approche innovante et son engagement envers la transformation numérique. Ils recherchent un Ingénieur DevOps compétent pour contribuer à l'optimisation de leurs processus et systèmes.Description du poste :En tant qu'Ingénieur DevOps, vous jouerez un rôle clé dans la coordination des équipes de développement et des opérations pour assurer des déploiements fluides et efficaces. Vos responsabilités principales incluront :Automatiser les processus de déploiement et les pipelines CI/CD.Configurer et gérer des environnements de production et de préproduction.Assurer la surveillance des systèmes pour garantir leur disponibilité et leur performance.Collaborer avec les équipes de développement pour résoudre les problèmes liés à la livraison de logiciels.Mettre en place des outils de monitoring et de gestion de la performance.Implémenter des pratiques de sécurité et de conformité dans les processus DevOps.Participer à l'élaboration de la documentation technique et des meilleures pratiques.Vos compétencesDiplôme en informatique, en génie logiciel, ou dans un domaine connexe.Au moins 3 ans d'expérience en tant qu'Ingénieur DevOps ou dans un rôle similaire.Expertise dans les outils d'automatisation tels que Jenkins, GitLab CI, ou CircleCI.Connaissance des technologies de conteneurisation (Docker, Kubernetes).Compréhension des principes d'infrastructure as code (Terraform, Ansible, ou Chef).Bonne maîtrise des langages de script comme Python ou Bash.Capacité à travailler en équipe et à résoudre des problèmes complexes.Maîtrise du français et de l'anglais, à l'oral comme à l'écrit.AvantagesSalaire compétitif et avantages sociaux attractifs.Environnement de travail stimulant et collaboratif.Possibilité de télétravail et horaires flexibles.Opportunités de développement professionnel et de formation continue.;non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3930641082
Inetum;5;Ingénieur Cloud H/F;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;"Détail de l'offre  Informations générales  Entité de rattachement  Inetum est un leader européen des services numériques. Pour les entreprises, les acteurs publics et la société dans son ensemble, les 28 000 consultants et spécialistes du groupe visent chaque jour l'impact digital des solutions qui contribuent à la performance, à l'innovation et au bien commun.Présent dans 19 pays au plus près des territoires, et avec ses grands partenaires éditeurs de logiciels, Inetum répond aux enjeux de la transformation digitale avec proximité et flexibilité.Porté par son ambition de croissance et d'industrialisation, Inetum a généré en 2023 un chiffre d'affaires de 2,5 milliards d'€.Pour répondre à un marché en croissance continue depuis plus de 30ans, Inetum a fait le choix délibéré de se recentrer sur 4 métiers afin de gagner en puissance et proposer des solutions sur mesure, adaptées aux besoins spécifiques de ses clients le conseil (Inetum Consulting), la gestion des infrastructures et applications à façon (Inetum Technologies), l'implémentation de progiciels (Inetum Solutions) et sa propre activité d'éditeur de logiciels (Inetum Software). Inetum a conclu des partenariats stratégiques avec 4 grands éditeurs mondiaux - Salesforce, ServiceNow, Microsoft et SAP et poursuit une stratégie d'acquisitions dédiée afin d'entrer dans le top 5 européen sur ces technologies et proposer la meilleure expertise à ses clients.Tous nos postes sont ouverts aux personnes en situation de handicap.Description du poste Métier Infrastructures Services - Systèmes Intitulé du poste Ingénieur Cloud H/F Contrat CDIDescription De La MissionAu sein de la Business Unit Cloud, vous évoluerez dans un environnement de haut niveau d'architecture Cloud et d'expertise technique au service de nos clients, majoritairement Grands Comptes et accompagnerez la croissance forte de nos activités de conseil, d'expertise, d'architecture et d'intégration.La BU Cloud en quelques motsUn environnement ""start-up"" comportant de nombreuses opportunitésAgilité dans un périmètre Cloud privé/publicMode SRECommunauté d'experts certifiésMissionsExpert technique de solutions Cloud avec une expérience significative en architecture, vous serez amenés àAssurer le Conseil / Expertise techniqueParticiper à la définition d'architecture Cloud chez les clients InetumParticiper à des phases de prototypage, d'avant-vente ou de pilotage sur les grands projets de nos clientsVérifier et analyser l'impact technique des nouvelles solutions sur les infrastructures et les applications de nos clients dans le CloudPrendre en charge et assurer l'évolution ou la transformation d'architecture Cloud Profil Au moins 4 ans d'expérience en tant que consultant CloudRigoureux (se) et organisé(e), votre sens du service et de la relation client sont autant d’atouts qui vous permettront d’évoluer au sein d’une entreprise très visible sur son secteur.Vous devrez faire preuve d’écoute, de curiosité et être doté(e) de qualité rédactionnelle.Anglais (bon niveau)Localisation du poste Localisation du poste France, Ile-de-France, 93 Seine-Saint-Denis Ville Saint OuenCritères candidat Niveau d'études min. requis Bac+5";non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3843956971
Inetum;5;Ingénieur AWS H/F;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;"Détail de l'offre  Informations générales  Entité de rattachement  Inetum est un leader européen des services numériques. Pour les entreprises, les acteurs publics et la société dans son ensemble, les 28 000 consultants et spécialistes du groupe visent chaque jour l'impact digital des solutions qui contribuent à la performance, à l'innovation et au bien commun.Présent dans 19 pays au plus près des territoires, et avec ses grands partenaires éditeurs de logiciels, Inetum répond aux enjeux de la transformation digitale avec proximité et flexibilité.Porté par son ambition de croissance et d'industrialisation, Inetum a généré en 2023 un chiffre d'affaires de 2,5 milliards d'€.Pour répondre à un marché en croissance continue depuis plus de 30ans, Inetum a fait le choix délibéré de se recentrer sur 4 métiers afin de gagner en puissance et proposer des solutions sur mesure, adaptées aux besoins spécifiques de ses clients le conseil (Inetum Consulting), la gestion des infrastructures et applications à façon (Inetum Technologies), l'implémentation de progiciels (Inetum Solutions) et sa propre activité d'éditeur de logiciels (Inetum Software). Inetum a conclu des partenariats stratégiques avec 4 grands éditeurs mondiaux - Salesforce, ServiceNow, Microsoft et SAP et poursuit une stratégie d'acquisitions dédiée afin d'entrer dans le top 5 européen sur ces technologies et proposer la meilleure expertise à ses clients.Tous nos postes sont ouverts aux personnes en situation de handicap.Description du poste Métier Infrastructures Services - Systèmes Intitulé du poste Ingénieur AWS H/F Contrat CDIDescription De La MissionLa Business Line Infrastructure services IDF recherche pour l’un de ses clients grand compte un(e) Ingénieur AWS en CDI basé à la Défense (2 j de télétravail/semaine).Vous interviendrez essentiellement lors de la phase d’opérations / maintenance des solutions (RUN), ainsi que sur l’ensemble du processus de conception, construction (BUILD).Vos missions principales sont Structurer et mettre en place le processus de RUN sur les périmètres concernés Monitorer, superviser et opérer les infrastructures en place Proposer de nouvelles méthodes d’opération d’application cloud native Rédiger des documentations d'exploitation et techniques Participer à la mise en place d’automatisation, d'intégration & de déploiement continu Assurer l’alignement des systèmes avec les règles de sécurité édictées par le groupe Être force de proposition dans les domaines de la Sécurité, de l’optimisation des coûts, de la performance et de la disponibilité des plateformes. Accompagner les entités/BU dans leurs activités liées au Cloud « conseil » / expertise Assurer la veille technologique Profil Diplômé d’une formation bac +4/5 (école d’ingénieur ou université), vous présentez une expérience d’au moins 3 ans sur une fonctionsimilaire (Ingénierie cloud / DevOps confirmé (AWS).Compétences attendues AWS IaaS, PaaS, serverless Conteneurs, Kubernetes et services managés AWS correspondants (ECS, EKS…) Terraform, Cloud Formation Expertise dans la mise en place de CI/CD Git, Gitlab CI Administration Linux Scripting Bash, Python Certification « Associate » (Architect et/ou SysOps) à minimaCompétences « nice to have » Expérience de type SRE (Site Reliability Engineer) Expérience de la stack de monitoring Prometheus , Grafana Expérience Okta Administration Windows Python avancé, Powershell, Ansible Expérience d’architecture réseau AWS avancés (Transit GW, VPC, NACL, WAF,…)Jenkins Confluence / JIRA Certification « Professionnel » et/ou « Specialty »POURQUOI NOUS REJOINDRE ?Rejoindre Inetum, Certifié TOP EMPLOYER EUROPE 2023, c'est Faire partie d'une équipe à taille humaine, soudée, encourageant la diversité des profils et des expériences et favorisant l'autonomie et l'initiative de chacun ;Avoir un impact chez nos clients en étant responsabilisé dans le cadre de missions à forts enjeux et sur un large panel d'activités ;S'intégrer dans une dynamique de croissance et de développement de notre marque de conseil.Nous vous proposonsUn accord de télétravail pour plus de flexibilitéUne trajectoire de carrière personnalisée et adaptée à vos souhaits d'évolution grâce à une implantation à l’international (26 pays, 7 Fablab), des formations ciblées et des projets couvrant l’ensemble de la chaîne de valeur IT (+25 filières métiers)Intégrer un collectif d’experts partageant des valeurs de solidarité et d’excellenceUne culture de la proximité au sein de nos 45 agences en FranceLocalisation du poste Localisation du poste France, Ile-de-France Ville Courbevoie";non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3843976082
Inetum;5;Ingénieur Devops/Cloud H/F;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Détail de l'offre  Informations générales  Entité de rattachement  Inetum est un leader européen des services numériques. Pour les entreprises, les acteurs publics et la société dans son ensemble, les 28 000 consultants et spécialistes du groupe visent chaque jour l'impact digital des solutions qui contribuent à la performance, à l'innovation et au bien commun.Présent dans 19 pays au plus près des territoires, et avec ses grands partenaires éditeurs de logiciels, Inetum répond aux enjeux de la transformation digitale avec proximité et flexibilité.Porté par son ambition de croissance et d'industrialisation, Inetum a généré en 2023 un chiffre d'affaires de 2,5 milliards d'€.Pour répondre à un marché en croissance continue depuis plus de 30ans, Inetum a fait le choix délibéré de se recentrer sur 4 métiers afin de gagner en puissance et proposer des solutions sur mesure, adaptées aux besoins spécifiques de ses clients le conseil (Inetum Consulting), la gestion des infrastructures et applications à façon (Inetum Technologies), l'implémentation de progiciels (Inetum Solutions) et sa propre activité d'éditeur de logiciels (Inetum Software). Inetum a conclu des partenariats stratégiques avec 4 grands éditeurs mondiaux - Salesforce, ServiceNow, Microsoft et SAP et poursuit une stratégie d'acquisitions dédiée afin d'entrer dans le top 5 européen sur ces technologies et proposer la meilleure expertise à ses clients.Tous nos postes sont ouverts aux personnes en situation de handicap.Description du poste Métier Infrastructures Services - Systèmes Intitulé du poste Ingénieur Devops/Cloud H/F Contrat CDIDescription De La MissionLa BU Cloud Inetum France Un mode startup à l’intérieur d’un groupe international qui donne accès à des contextes internationaux tout en gardant une agilité forteAmbiance Techno / geek du manager au new joinerUn parcours de formation drivé par un tuteurUne communauté techno avec volonté de faire grandir l’équipeDe fortes ambitions qui apporte un beau terrain de jeuxUn cadre de travail qui permet de construire sa routeVous souhaitez intégrer un projet challengeant, au sein d’une équipe dynamique et travailler au sein d’un des plus grands comptesVous aurez en charge les missions suivantesParticiper au développement de nos offres cloud automatisation, CI/CD, gotocloudDéfinir et adapter les outils et process industriels pour nos clients régionauxParticiper à des missions d'amélioration de performance et de transformation digitale pour nos clientsPromouvoir les bonnes pratiques afin d'optimiser nos offres et d'industrialiser les environnements de nos clientsEtre le référent technique sur nos outilsParticiper à l'animation d'une communauté autour de l'hyperautomatisation Profil Issu d'une école d'ingénieur ou de formation universitaire (Bac+5), vous justifiez idéalement d'une expérience d'au moins 2 ans dans un environnement similaire.Vous êtes passionné d’informatique, curieux, autonome et proactif, vous souhaitez développer de nouvelles compétences techniques et évoluer au sein de l'entrprise.Environnements techniquesOutils Jenkins / Terraform / Ansible / Docker / KubernetesLangages Python / Powershell / BashCloud AWS / Azure / GCP / OVH...Git / GithubConnaissances des architectures d’automatisation et service cloudLocalisation du poste Localisation du poste France, Ile-de-France, 75 Paris Ville Saint OuenCritères candidat Niveau d'études min. requis Bac+5 Niveau d'expérience min. requis Plus de 2 ans;non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3843956834
Expectra Search;1;Ingénieur AWS F/H;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Description non trouvée;Recruteur non trouvé;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3932293487
Digital Consulting;1;Ingénieur sécurité cloud;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Dans un contexte de forte mutation technologique et applicative, nous recherchons un(e) ingénieur(e) AWS disposant également de compétences en systèmes et réseaux. Le/la candidat(e) idéal(e) apportera son expertise AWS, construira nos futures infrastructures « as code » et nous accompagnera dans nos projets de transformation. Iel sera également en mesure d’aider l’équipe sur les sujets d’administration quotidienne de nos systèmes, switchs et firewalls.Missions :Assurer le leadership de notre transformation technologique vers le cloud AWS, le monde open source et la méthodologie DevOps.Administrer notre cloud AWS et en assurer le maintien en conditions opérationnelles.Assurer une veille technologique sur le cloud AWS.Collaborer avec les développeurs pour la conception des architectures applicatives, la conteneurisation, l’intégration, la mise en œuvre des CI/CD, et l’optimisation des performances des applications.Assurer le support expert sur l’ensemble des aspects Cloud AWS et DevOps.Compétences requises :Maîtrise du Cloud AWS : EC2, RDS, ECS, ECR, AMI, VPC, Security Group, EBS, CloudWatch, WAF. Éventuellement, maîtrise d’un autre cloud et envie de basculer sur AWS.Maîtrise de l’infrastructure as code (Terraform).Maîtrise des outils de containerisation (Docker, Kubernetes).Maîtrise de la méthodologie DevOps et des outils (Git / GitLab / GitHub).Écosystème technique :Outils de virtualisation VMWare.Réseaux : switch (Aruba et Cisco) / firewall (ForcePoint ou Checkpoint).Systèmes : Linux et Windows.Middlewares : Apache, Nginx, Maven, Tomcat.Profil recherché :Diplômé(e) d’une école d’ingénieur ou d’une université en informatique, avec un minimum de 2 ans d’expérience en tant qu’architecte ou ingénieur(e) AWS.Passionné(e) d’innovation et de nouvelles technologies.Proactif(ve) et orienté(e) solution.Rigoureux(se) et capable de gérer le stress.Appréciant la diversité des projets techniques.Autonome, mais avec un fort esprit d’entraide et de partage.Avantages :Bureaux neufs et lumineux, proches du métro et du RER.Convention collective et accords d’entreprise très favorables.Salaire brut annuel de 55k€ à 70k€ selon profil et expérience.Intéressement et abondement sur PEE attractifs.Statut cadre avec 18 RTT et possibilité de placement/monétisation via un compte épargne temps.Carte Edenred (ticket restaurant 10.50€/jour) et restaurant inter-entreprises à proximité.2 jours de télétravail à partir de 6 mois d’ancienneté.CSE offrant de nombreux avantages (chèques cadeaux, vacances, culture).Politique RSE affirmée (avantages pour les familles et séniors, indemnité km vélo).Mutuelle et contrat prévoyance de qualité.Rejoignez une équipe à taille humaine et un environnement en pleine mutation pour participer à des projets passionnants et variés.;Gabriel A.;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3931133968
Neosoft;4;Ingénieur DevOps/Ingénieure DevOps;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;"Passionné.e par les approches IT modernes, vous souhaitez : travailler sur des projets innovants ?Devenir un expert dans la conception d'infrastructure Cloud ? Implémenter des solutions de sécuritéadaptées aux environnements cloud ?Vous sonnez à la bonne porte !Vos missionsDesign d'architectures modernes (AWS et/ou Azure)Infrastructure as Code & Configuration ManagementIntégration de solutions sécurité ""DevOps friendly"" : gestion du secret, CSPM, CWP, IaCscanning et plus si affinités...Participation à des projets d'intégration axés cybersécurité : SIEM, SOAR, CTI, SDWAN, Modern LB...Être notre ""technical champion"" sur une ou plusieurs technologiesÊtre garant des design d'architectures et de leur pérennitéFaire de la veille technologique pour que notre offre soit toujours plus pertinenteVos compétencesPlus de 3 ans d’expérienceUn cursus scolaire en informatiqueDes connaissances basiques sur un ou plusieurs cloud providers : AWS, Azure, GCPMaitrise de l'AnglaisCapacités rédactionnelles";non mentionné;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3642707939
Neosoft;4;Ingénieur infrastructure/Ingénieure infrastructure;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;"Tous nos postes sont ouverts au télétravail Groupe indépendant de conseil en transformation digitale de près de 1800 collaborateurs, Néosoft s’est construit, depuis 2005, sur un modèle qui place l’excellence, le dépassement de soi et la RSE au cœur de sa stratégie.En nous rejoignant, vous intégrez des communautés d’experts et de talents qui vous permettent de développer vos compétences et d’offrir à nos clients le meilleur accompagnement possible.Notre savoir-faire s’articule autour de nos 6 domaines d’expertise : Conseil & AgilitéCybersécuritéDataDevOpsInfrastructures & CloudSoftware EngineeringNous recherchons pour intégrer notre agence parisienne, un Ingénieur DevOps (H/F).En intégrant notre agence parisienne pour un client du secteur bancaire, voici des exemples de missions qui vous seront proposées :🎯 Vos missions :Participer aux projets de développement des nouvelles applications dans toutes les phases de cycle de vie d’un projet, de la construction à la mise en service de la solutionMettre en place et maintenir les différents environnements nécessaires aux cycles de vie des projets, incluant les outils de delivery continu, auprès des équipes projetParticiper à la mise en place et au maintien des automatismes en fonction des évolutions des produitsParticiper aux mises en production et aux investigations d’incident de productionParticiper aux réunions d’amélioration continue des process de mise en production avec les équipes de développement et les exploitantsApporter des solutions opérationnelles (production et infrastructure) en aidant les équipes pour l’implémentation du déploiement continuSuperviser la chaîne de déploiement et aider à la validation des composants techniquesAssurer le support N2/N3 en cas de blocage ou incident du produit en productionAccompagner les ingénieurs de production pour le développement des socles techniques et pour l’utilisation des mêmes outils : formations sur les nouvelles technologies, les nouvelles méthodes de travailTravailler en collaboration avec le chapitre « Infrastructure & Cloud »Environnements techniques : [Linux/Unix/Aix] ;[Jboss ; Websphere ; Tomcat...] ; [Vtom ; Autosys ; $U ; Control M ...] ; [Kubernetes ; Openshift ; GitOps ; ArgoCD ; AWS ; Azure] Des connaissances en Big Data ou Cloud sont appréciées également.📝 Votre profilVous savez scripter, vous maîtrisez à minima un outil de monitoring et le monde du middleware vous est familierVous avez une appétence naturelle pour le conseil et l'agilité.👉 Votre carrière chez Néosoft Depuis sa création, Néosoft place ses collaborateurs au cœur de sa stratégie. Notre culture pourrait se résumer en un mot : le collectif.Nos communautés d’experts vous donnent la possibilité d’apprendre, mais aussi de transmettre et de partager vos savoirs pour faire progresser les autres.Nous veillons à ce que chacun bénéficie d’un accompagnement de proximité et d’un suivi de carrière personnalisé auprès de votre manager dédié :1 bilan d’activité trimestriel pour suivre le développement de vos compétences1 entretien d’évaluation qui a lieu chaque année pour évaluer votre performance et déterminer vos nouveaux objectifs1 entretien annuel auprès de votre RH dans le but de cartographier vos nouvelles compétences pour échanger sur vos projets professionnels et souhaits de formation👉 Vos avantagesFormations et développement de l’expertise : Vous disposez de temps alloué et rémunéré en contribuant au développement de votre expertise technique et de celle du groupe (Participation à des Tech days, animation d’une conférence à l’interne ou à l’externe, rédaction d’articles, rencontres avec nos candidats en processus de recrutement…)Un abonnement illimité LinkedIn Learning offertBien-être au travail : Un accord de télétravail flexible jusqu’à 100% de télétravail et personnalisableUn partenariat avec Gymlib qui favorise le sport en entrepriseDes initiatives locales (afterworks, défis sportifs, team buildings, …)Et bien plus encore : Parce que les meilleurs cooptent les meilleurs, une politique de cooptation attractive rémunérée dès l’arrivée du collaborateurEn plus de votre salaire : participation, compte épargne temps, actionnariat...👉 Votre parcours candidatNotre processus de recrutement se compose de deux étapes clés :Un entretien de recrutement RH avec un Talent Acquisition Spécialist pour dresser un bilan de votre parcours professionnel et identifier les trajectoires de carrière possibles au sein de notre groupeUn entretien d’évaluation technique pour réaliser un diagnostic de vos compétences techniques et identifier les compétences sur lesquelles poursuivre votre évolutionVous aurez également la possibilité de rencontrer pour compléter votre processus un acteur de notre pôle Business ou un pair de votre métier pour échanger sur son expérience collaborateur.Nous avons hâte de vous rencontrer !A bientôt,L’équipe Néosoft 🖐";Louise Perette;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3609443153
MERITIS;1;Ingénieur Devops;paris, Île-de-France, France;non mentionné;non mentionné;non mentionné;Tous nos postes sont ouverts au télétravailGroupe indépendant de conseil en transformation digitale de près de 1800 collaborateurs, Néosoft s’est construit, depuis 2005, sur un modèle qui place l’excellence, le dépassement de soi et la RSE au cœur de sa stratégie.En nous rejoignant, vous intégrez des communautés d’experts et de talents qui vous permettent de développer vos compétences et d’offrir à nos clients le meilleur accompagnement possible.Notre savoir-faire s’articule autour de nos 6 domaines d’expertise :Conseil & AgilitéCybersécuritéDataDevOpsInfrastructures & CloudSoftware EngineeringNous recherchons pour intégrer notre agence parisienne, un développeur Technicien Infrastructure Banque de Marchés confirmé (H/F).Directement rattaché au practice leader software, vous bénéficierez dans un premier temps d'une période d'intégration vous permettant de découvrir le groupe, nos enjeux et nos équipes.En intégrant notre agence bordelaise, voici des exemples de missions qui vous seront proposées :🎯 Vos missions- Assurer le maintien en condition opérationnelle : support N3, fonctionnement et performance au quotidien des composants, procédure de reprise- Gérer les changements : analyser les demandes d'évolution, rédiger les dossiers techniques, définir (en lien avec les architectes) les solutions techniques et assurer la mise en production des solutions- Apporter votre expertise auprès des autres équipes : instruire ou contribuer à la construction et l'industrialisation de solutions potentiellement complexes💻 Stack technique- Système server et client (W10, WS 2016 et 2019 / Linux ),- Réseau LAN et WAN (switching, VLAN, routeur),- Messagerie électronique (365),- Virtualisation (Hyper-V),- Sécurité sauvegarde, antivirus et firewall- Active Directory- Citrix- Centreon- Cisco📝 Votre profilVous disposez de minimum 4 ans d'expérience professionnelle reconnue dans laquelle vous avez pu confirmer et développer vos compétences, idéalement dans le secteur bancaire.👉 Votre carrière chez NéosoftDepuis sa création, Néosoft place ses collaborateurs au cœur de sa stratégie. Notre culture pourrait se résumer en un mot : le collectif.Nos communautés d’experts vous donnent la possibilité d’apprendre, mais aussi de transmettre et de partager vos savoirs pour faire progresser les autres.Nous veillons à ce que chacun bénéficie d’un accompagnement de proximité et d’un suivi de carrière personnalisé auprès de votre manager dédié :1 bilan d’activité trimestriel pour suivre le développement de vos compétences1 entretien d’évaluation qui a lieu chaque année pour évaluer votre performance et déterminer vos nouveaux objectifs1 entretien annuel auprès de votre RH dans le but de cartographier vos nouvelles compétences pour échanger sur vos projets professionnels et souhaits de formation👉 Vos avantagesFormations et développement de l’expertise :Vous disposez de temps alloué et rémunéré en contribuant au développement de votre expertise technique et de celle du groupe (Participations à des Tech days, animation d’une conférence à l’interne ou à l’externe, rédaction d’articles, rencontres avec nos candidats en processus de recrutement…)Un abonnement illimité LinkedIn Learning offertBien-être au travail :Un accord de télétravail flexible jusqu’à 100% de télétravail et personnalisableUn partenariat avec Gymlib qui favorise le sport en entrepriseDes initiatives locales (afterworks, défis sportifs, team buildings, …)Et bien plus encore :Parce que les meilleurs cooptent les meilleurs, une politique de cooptation attractive rémunérée dès l’arrivée du collaborateurEn plus de votre salaire : participation, compte épargne temps, actionnariat...👉 Votre parcours candidatNotre processus de recrutement se compose de deux étapes clés :Un entretien de recrutement RH avec un Talent Acquisition Spécialiste pour dresser un bilan de votre parcours professionnel et identifier les trajectoires de carrière possibles au sein de notre groupeUn entretien d’évaluation technique pour réaliser un diagnostic de vos compétences techniques et identifier les compétences sur lesquels poursuivre votre évolutionVous aurez également la possibilité de rencontrer pour compléter votre processus un acteur de notre pôle Business ou un pair de votre métier pour échanger sur son expérience collaborateur.Nous avons hâte de vous rencontrer !A bientôt,L’équipe Néosoft 🖐;Louise Perette;https://www.linkedin.com/jobs/search/?currentJobId=urn:li:jobPosting:3931568913
